transaction_id,customer_id,timestamp,amount,merchant_category,location,device_type,risk_score,flagged_for_review
TX_19E4B6376A6B,CUST_99FBF93D,2023-04-11 19:34:48,773.58,Wire Transfer,"San Antonio, TX",POS Terminal,0.263,False
TX_27C28DF56D0D,CUST_2A96E2B6,2025-08-19 04:06:32,583.48,Electronics,"Jacksonville, FL",Mobile - iOS,0.226,False
TX_8D0BD5D4452E,CUST_538B2855,2022-04-11 00:38:41,1575.55,Money Transfer,"Denver, CO",Mobile - iOS,0.709,True
TX_83FDDB899B74,CUST_51451205,2024-02-08 21:55:17,2234.65,Money Transfer,"Boston, MA",POS Terminal,0.386,False
TX_E3B2DE7216A2,CUST_2A96E2B6,2022-04-13 10:50:27,269.51,Retail,"San Jose, CA",Tablet - Android,0.085,False
TX_12F92B56A24D,CUST_98B774A3,2024-09-30 14:21:34,893.54,Gambling,"San Jose, CA",Tablet - Android,0.393,False
TX_03BE307951DB,CUST_F279F77C,2024-11-03 19:01:27,2578.26,Jewelry,"Dallas, TX",POS Terminal,0.275,False
TX_99DF858EA880,CUST_ED873F40,2022-09-25 20:11:49,424.55,Insurance,"Los Angeles, CA",Mobile - Android,0.079,False
TX_CD8A5377FD95,CUST_02FDA7BC,2025-05-21 19:22:14,77.01,Cryptocurrency,"Philadelphia, PA",Desktop - Windows,0.324,False
TX_0EA4912B85CD,CUST_B69EF017,2023-08-26 05:48:51,4825.24,ATM Withdrawal,"San Jose, CA",Tablet - Android,0.573,False
TX_62E4CB9B8BDA,CUST_6EF8C9DF,2022-02-26 03:05:11,288.12,Grocery,"Chicago, IL",Tablet - Android,0.332,False
TX_2A34863E4890,CUST_82AFA5B8,2024-10-27 08:34:51,521.9,Wire Transfer,"Los Angeles, CA",Mobile - iOS,0.352,False
TX_CB5307D3AD0E,CUST_9472C8E1,2022-01-31 03:30:37,1218.44,ATM Withdrawal,"Seattle, WA",Desktop - Windows,0.289,False
TX_82C4EB6DB8EC,CUST_E45F825F,2022-12-21 18:38:56,1360.06,Retail,"Dallas, TX",ATM,0.127,False
TX_623F08F325EC,CUST_22BCB5D3,2024-04-16 08:54:10,642.21,Cryptocurrency,"Chicago, IL",Desktop - Windows,0.346,False
TX_3152940B87A8,CUST_122DBDA9,2022-12-04 01:13:33,2219.48,ATM Withdrawal,"Austin, TX",Desktop - Mac,0.336,False
TX_C131950041E7,CUST_5BE54B52,2025-04-20 23:24:55,755.03,Restaurant,"San Francisco, CA",Web Browser,0.22,False
TX_C3D06BEC6A49,CUST_54AACF1E,2025-07-25 05:23:16,948.51,Travel,"San Jose, CA",Desktop - Windows,0.175,False
TX_739174D31B98,CUST_6BEA9A14,2023-04-22 16:20:56,260.69,Utilities,"Los Angeles, CA",Mobile - iOS,0.135,False
TX_F227B64D4029,CUST_6B946D7A,2023-06-06 09:41:23,292.35,Gambling,"Austin, TX",Desktop - Windows,0.374,False
TX_2065AF9DB085,CUST_1E5DD819,2022-06-07 03:08:12,162.62,Gambling,"San Jose, CA",Web Browser,0.473,False
TX_32143010CDD7,CUST_681E27A5,2024-10-03 21:39:46,817.44,Gas Station,"San Francisco, CA",ATM,0.18,False
TX_317F0681EDB1,CUST_8B253B16,2023-02-27 07:42:18,3424.74,Cryptocurrency,"Pyongyang, North Korea",Web Browser,0.576,False
TX_E955E1753BB1,CUST_90112423,2022-05-30 15:22:45,22.49,Money Transfer,"Los Angeles, CA",Mobile - Android,0.321,False
TX_14C23D625144,CUST_12A29225,2023-05-21 01:16:21,623.37,Wire Transfer,"Boston, MA",Desktop - Mac,0.515,False
TX_5CACA9B22CB4,CUST_A706DD07,2024-10-27 04:17:39,894.86,Electronics,"San Diego, CA",Tablet - iOS,0.152,False
TX_08C17B76B58C,CUST_5D82253B,2025-07-23 23:06:32,88532.83,Foreign Transaction,"San Jose, CA",Mobile - Android,0.919,True
TX_1DE2AF2BBA24,CUST_662C1532,2022-12-19 08:16:16,917.62,Jewelry,"Dallas, TX",Tablet - iOS,0.085,False
TX_04950AC57AA5,CUST_E48A2972,2024-12-24 06:52:34,880.22,Gas Station,"Charlotte, NC",Desktop - Mac,0.09,False
TX_76433F9FC707,CUST_8D2EB70F,2025-02-05 03:00:41,689.38,Electronics,"San Diego, CA",Mobile - Android,0.179,False
TX_5F5453A7FEFF,CUST_9741FA26,2024-10-25 16:42:16,2219.26,Cryptocurrency,"Denver, CO",Web Browser,0.403,False
TX_E95BB3CA1CDC,CUST_5BDAEB50,2025-05-11 01:19:20,486.43,Online Shopping,"Charlotte, NC",Mobile - Android,0.205,False
TX_D461579F0011,CUST_E87B697A,2025-10-26 04:16:24,240.23,Gas Station,"Boston, MA",Web Browser,0.3,False
TX_DA9CBEA3495A,CUST_3B0A9A9D,2023-06-02 05:17:08,905.51,Money Transfer,"San Diego, CA",ATM,0.383,False
TX_A3DF225DC8EF,CUST_FB41A075,2023-05-03 18:50:06,20145.67,Money Transfer,"Lagos, Nigeria",Desktop - Mac,1.0,True
TX_D5D545016CA5,CUST_BBF93682,2024-11-20 01:45:36,1139.25,Wire Transfer,"Lagos, Nigeria",Desktop - Windows,1.0,True
TX_D6C8190D02BE,CUST_0317F380,2022-05-10 22:33:24,466.7,Wire Transfer,"Houston, TX",Mobile - iOS,0.532,False
TX_8C230A8D727F,CUST_08F66E97,2025-07-17 19:42:55,562.53,ATM Withdrawal,"Fort Worth, TX",Mobile - Android,0.002,False
TX_F0FF30F87CE8,CUST_07E86C20,2023-08-29 06:23:24,901.85,Healthcare,"Seattle, WA",Tablet - iOS,0.286,False
TX_24D1DD5ECAFC,CUST_AEAEE6BF,2023-05-15 20:05:37,189.73,ATM Withdrawal,"Dallas, TX",POS Terminal,0.257,False
TX_40EA2BDB5E69,CUST_3A3B6CBA,2025-02-01 20:08:12,1255.57,Electronics,"Houston, TX",Mobile - iOS,0.101,False
TX_69C03590B918,CUST_01D02EEF,2022-02-04 14:53:48,410.23,Travel,"New York, NY",Tablet - Android,0.163,False
TX_A9FD98E8E0C2,CUST_11ED91D5,2023-11-06 23:37:24,443.16,Gas Station,"Austin, TX",Mobile - iOS,0.331,False
TX_AB71863F45E3,CUST_6C237A8D,2024-06-11 13:57:42,1416.5,Foreign Transaction,"Jacksonville, FL",Mobile - Android,0.442,False
TX_BB3C39805F25,CUST_8BF1D506,2023-04-06 09:00:51,452.55,Electronics,"Houston, TX",POS Terminal,0.123,False
TX_C7F7289DFB3F,CUST_19D74553,2025-04-26 08:49:39,474.74,Foreign Transaction,"Boston, MA",Mobile - iOS,0.073,False
TX_778B7E699167,CUST_09F19B41,2023-02-03 13:26:35,210.28,Money Transfer,"Phoenix, AZ",POS Terminal,0.307,False
TX_27F82A87220E,CUST_B9735C48,2025-03-02 19:25:10,394.53,Gambling,"New York, NY",Web Browser,0.247,False
TX_0E25770EE932,CUST_219B9C56,2025-02-16 17:33:57,638.93,Grocery,"Charlotte, NC",Web Browser,0.199,False
TX_9C6460E39933,CUST_47127222,2025-08-05 15:50:39,5459.52,Cryptocurrency,"Philadelphia, PA",Tablet - Android,0.591,False
TX_C56C222C1070,CUST_2A1AB864,2025-03-12 14:57:24,13920.52,Online Shopping,"New York, NY",Mobile - Android,0.427,False
TX_262A19985B22,CUST_8CFA6DB1,2024-01-05 14:54:40,526.76,Money Transfer,"Philadelphia, PA",POS Terminal,0.203,False
TX_F0FA6908E279,CUST_37AD49B5,2025-02-07 00:48:57,575.92,Online Shopping,"Chicago, IL",ATM,0.222,False
TX_9F6BE8DE73CB,CUST_DDD122A3,2023-10-06 03:29:31,2132.9,Online Shopping,"Charlotte, NC",Tablet - iOS,0.327,False
TX_EDDA5CAB41D2,CUST_A9FC61F2,2022-06-02 03:34:43,1952.69,Online Shopping,"Dallas, TX",Mobile - Android,0.372,False
TX_B5612FE953FE,CUST_CDBA1092,2024-04-04 04:27:17,185.26,Online Shopping,"Boston, MA",ATM,0.217,False
TX_41808B222B29,CUST_BA8401CF,2022-06-02 14:03:51,4978.95,Jewelry,"Dallas, TX",Mobile - Android,0.465,False
TX_9FA8B9D0C45E,CUST_B379F46D,2025-10-26 09:23:31,835.1,Restaurant,"Austin, TX",POS Terminal,0.156,False
TX_D54D554348E4,CUST_361FDFC2,2022-01-06 18:09:08,1133.15,Retail,"Denver, CO",Mobile - iOS,0.288,False
TX_BC455C7245DC,CUST_D936E348,2022-05-10 20:25:14,926.09,Electronics,"Columbus, OH",Tablet - iOS,0.19,False
TX_10658D623799,CUST_30994C32,2022-12-18 06:52:08,87806.51,Foreign Transaction,"Philadelphia, PA",Tablet - Android,0.777,True
TX_F6FE1C91C465,CUST_FA91A2FD,2023-07-28 00:03:05,490.62,Foreign Transaction,"Philadelphia, PA",Desktop - Windows,0.288,False
TX_F42F8F189B58,CUST_EDDA4040,2024-07-15 07:05:08,993.75,Gas Station,"Fort Worth, TX",Web Browser,0.185,False
TX_DCCF674307FC,CUST_B996B105,2024-02-04 00:30:04,10271.48,Money Transfer,"Los Angeles, CA",Mobile - Android,0.773,True
TX_2E4586BA2F47,CUST_B4FBF75E,2022-01-03 19:11:54,4055.59,Gas Station,"Moscow, Russia",Mobile - iOS,0.699,True
TX_54F8358E4A17,CUST_3F0A1050,2024-06-21 01:52:36,144.8,Restaurant,"Los Angeles, CA",ATM,0.164,False
TX_DE343E631AA6,CUST_7373A183,2025-04-30 10:43:00,14.56,ATM Withdrawal,"Dallas, TX",Mobile - Android,0.175,False
TX_5439BC493BF7,CUST_F2D941B9,2023-10-02 17:45:20,702.14,Healthcare,"Phoenix, AZ",Web Browser,0.094,False
TX_A7D62F093DB7,CUST_19997517,2025-02-11 18:13:55,1066.61,Utilities,"Dallas, TX",ATM,0.253,False
TX_43A42DAC550C,CUST_FD113D84,2022-06-30 19:50:46,519.52,Online Shopping,"Charlotte, NC",Desktop - Mac,0.161,False
TX_BCDC27F5E5FA,CUST_AC163EC8,2025-01-07 02:13:57,2331.67,Restaurant,"Dallas, TX",Tablet - Android,0.259,False
TX_541AE546C48E,CUST_2B220FEB,2025-02-23 21:39:25,229.56,Travel,"Chicago, IL",ATM,0.178,False
TX_B9C8A069EBB8,CUST_958C55ED,2024-01-08 14:16:33,766.3,Healthcare,"Austin, TX",Desktop - Windows,0.084,False
TX_130B4AE6B29A,CUST_301E562B,2024-04-10 08:34:27,48.53,Cryptocurrency,"San Francisco, CA",Desktop - Mac,0.318,False
TX_9CEC1B5F6265,CUST_35E3B344,2023-05-30 09:59:34,1664.13,Travel,"Austin, TX",Desktop - Mac,0.177,False
TX_7F9BC1A07201,CUST_B36443CA,2025-07-15 09:25:58,146.52,Restaurant,"Austin, TX",Tablet - Android,0.011,False
TX_23CED1986AAF,CUST_F6AD2D0E,2024-06-28 08:45:03,399.54,Gambling,"Boston, MA",Tablet - Android,0.27,False
TX_C4170872E3D0,CUST_98B774A3,2024-03-24 05:13:36,190.94,Retail,"Boston, MA",Mobile - iOS,0.258,False
TX_BFAF39D61607,CUST_4AE376A7,2023-10-27 03:02:31,1616.42,Money Transfer,"Houston, TX",Mobile - Android,0.84,True
TX_21B635C480B5,CUST_47E48E9A,2024-08-05 16:24:06,605.02,Retail,"Phoenix, AZ",Tablet - Android,0.161,False
TX_1C1E6F687DE3,CUST_F9311B56,2024-06-30 21:24:03,689.87,Travel,"Philadelphia, PA",Mobile - iOS,0.081,False
TX_E539C2D84EBE,CUST_D4FEF1B4,2024-01-30 07:20:52,920.72,Utilities,"Chicago, IL",Desktop - Windows,0.2,False
TX_25C4B14C7727,CUST_C1C31532,2022-06-19 21:08:11,443.36,Electronics,"Denver, CO",Tablet - Android,0.174,False
TX_29A808D800E0,CUST_4204B1CD,2022-01-22 05:55:26,761.95,Restaurant,"Chicago, IL",Tablet - Android,0.172,False
TX_8CF0B8931192,CUST_52320B3E,2023-01-10 11:51:41,689.52,Utilities,"San Francisco, CA",Tablet - Android,0.006,False
TX_8A07FC742F3E,CUST_65FAB619,2022-03-31 15:06:48,448.51,Entertainment,"Phoenix, AZ",ATM,0.119,False
TX_379B7552AC49,CUST_D936E348,2023-12-26 22:47:37,677.33,Retail,"San Diego, CA",Mobile - Android,0.16,False
TX_20B01E811F1F,CUST_5C8F0162,2023-08-13 21:39:13,970.14,Retail,"San Antonio, TX",Mobile - Android,0.001,False
TX_25B0A8F9CD70,CUST_58649453,2022-09-16 01:56:13,434.12,Foreign Transaction,"Boston, MA",Tablet - iOS,0.163,False
TX_CACD8823B542,CUST_2DE9B20B,2023-09-07 20:39:58,8320.72,Electronics,"Boston, MA",Desktop - Windows,0.492,False
TX_F5FC0B8ECDD5,CUST_3D80F91D,2023-12-10 07:58:23,1054.38,Restaurant,"Jacksonville, FL",POS Terminal,0.114,False
TX_B12D9B3C33C8,CUST_4204B1CD,2024-04-14 15:36:36,22.92,Retail,"Fort Worth, TX",POS Terminal,0.189,False
TX_366B7A553C3A,CUST_104D2149,2025-01-26 01:04:34,392.99,Gambling,"Charlotte, NC",Tablet - iOS,0.359,False
TX_D964E8C34AD2,CUST_BFAE2AFC,2023-05-10 15:32:17,697.44,Online Shopping,"San Antonio, TX",Desktop - Mac,0.114,False
TX_C9B26E731615,CUST_58C27973,2023-09-21 18:44:23,863.27,Retail,"New York, NY",POS Terminal,0.098,False
TX_984A352FA388,CUST_90E339F0,2022-11-18 10:20:00,225.79,Jewelry,"New York, NY",Mobile - Android,0.099,False
TX_98BA0038A41E,CUST_8D4B1446,2023-10-04 08:08:57,893.31,Gambling,"Seattle, WA",Tablet - iOS,0.337,False
TX_9D73CB09AC63,CUST_BB2A15C7,2025-07-09 05:42:36,490.88,Healthcare,"San Jose, CA",Tablet - Android,0.421,False
TX_1F7C5D89262D,CUST_42B70D41,2022-02-01 23:50:02,575.6,Cryptocurrency,"Los Angeles, CA",Tablet - Android,0.399,False
TX_CEB10E736A6A,CUST_2F96AF72,2025-01-12 17:58:26,1290.58,Wire Transfer,"Chicago, IL",ATM,0.544,False
TX_84730D0587E2,CUST_9C26604D,2025-06-16 00:18:57,2875.18,Gambling,"Austin, TX",Web Browser,0.608,True
TX_774308070EA9,CUST_C021ADE9,2024-07-12 10:54:36,308.79,Cryptocurrency,"San Jose, CA",Desktop - Windows,0.379,False
TX_CF6E0AE52697,CUST_6C7FE691,2023-05-08 13:42:51,2402.15,Online Shopping,"San Francisco, CA",Tablet - Android,0.171,False
TX_FC1309F5A490,CUST_9375406B,2022-06-09 08:29:29,891.03,Online Shopping,"New York, NY",ATM,0.023,False
TX_B7BAECF81F6C,CUST_25737D2D,2023-12-07 05:14:45,754.41,Retail,"Philadelphia, PA",Desktop - Mac,0.236,False
TX_641E55E016C4,CUST_1C0C6419,2022-12-11 03:41:50,3335.24,Money Transfer,"Houston, TX",ATM,0.795,True
TX_120492827532,CUST_2A037CB2,2024-01-20 18:06:27,115.35,Grocery,"Indianapolis, IN",POS Terminal,0.042,False
TX_692F15A32279,CUST_B4FBF75E,2023-11-12 17:35:05,4415.55,Gambling,"Beijing, China",Mobile - Android,0.576,False
TX_9AA455F4B729,CUST_BBF93682,2022-04-02 22:03:48,1764.38,Money Transfer,"Boston, MA",Mobile - Android,0.759,True
TX_753C4FDA7175,CUST_429EEB65,2025-05-31 04:32:58,586.07,Travel,"Indianapolis, IN",Tablet - iOS,0.216,False
TX_5CDFB1554BC3,CUST_2A595292,2023-09-29 01:42:06,457.4,ATM Withdrawal,"Philadelphia, PA",Mobile - iOS,0.261,False
TX_693738A9B883,CUST_638E8740,2023-03-14 19:18:34,136.19,Healthcare,"Phoenix, AZ",Desktop - Windows,0.012,False
TX_8D11627684F5,CUST_15CBAD63,2023-07-23 08:31:17,658.29,Online Shopping,"Indianapolis, IN",Mobile - Android,0.013,False
TX_4A0E5DB116C7,CUST_70286A15,2024-01-08 18:38:45,10918.71,Wire Transfer,"Lagos, Nigeria",Mobile - iOS,1.0,True
TX_A551EE52DB24,CUST_6E98B02E,2022-11-02 07:54:08,139.28,Gambling,"Charlotte, NC",Tablet - Android,0.37,False
TX_A99E789332EC,CUST_6CED6AC2,2022-07-31 07:23:45,90866.0,Foreign Transaction,"Chicago, IL",Mobile - iOS,0.681,True
TX_664C6335BFF6,CUST_041F3121,2023-02-08 00:43:52,66.87,Healthcare,"San Francisco, CA",ATM,0.242,False
TX_0E0D39A4EE05,CUST_8B253B16,2025-04-12 03:39:34,79111.46,Travel,"Beijing, China",Mobile - Android,0.844,True
TX_9B267714B8F2,CUST_AEDF842B,2025-05-30 01:55:10,586.22,Foreign Transaction,"San Antonio, TX",Mobile - Android,0.339,False
TX_102E205E7B0D,CUST_FACE6780,2023-06-24 07:53:47,1451.94,Wire Transfer,"Moscow, Russia",Desktop - Mac,0.938,True
TX_47AF6055ECDE,CUST_5CAF232B,2024-09-24 00:32:03,373.22,Money Transfer,"Jacksonville, FL",POS Terminal,0.518,False
TX_5341A245B4DD,CUST_71C6659E,2024-03-16 14:48:56,892.02,Wire Transfer,"San Diego, CA",POS Terminal,0.386,False
TX_B4E5DBD00D5A,CUST_5558DB86,2025-03-14 16:51:25,368.43,Restaurant,"San Jose, CA",Tablet - iOS,0.156,False
TX_81CF10855CD0,CUST_ED873F40,2023-06-06 09:41:02,446.57,Cryptocurrency,"Fort Worth, TX",Desktop - Mac,0.337,False
TX_7F3F806C2211,CUST_36B967EE,2023-01-22 22:14:36,75.18,Wire Transfer,"Philadelphia, PA",ATM,0.488,False
TX_53E36D4391BA,CUST_4047D93F,2022-12-12 12:08:27,883.24,Grocery,"Chicago, IL",Tablet - iOS,0.194,False
TX_F71AEE9CB830,CUST_B08167FE,2023-03-20 13:42:08,3720.34,Money Transfer,"Austin, TX",Desktop - Windows,0.52,False
TX_0DE5091FF0A0,CUST_D45EC47E,2024-11-17 20:56:02,2515.66,Grocery,"Boston, MA",Desktop - Windows,0.428,False
TX_062EBBC311BD,CUST_DE4ED386,2023-09-30 22:05:42,604.78,Wire Transfer,"Dallas, TX",Desktop - Mac,0.39,False
TX_6BBB1D153085,CUST_AB350A77,2023-05-06 04:46:18,947.76,Travel,"Jacksonville, FL",Mobile - iOS,0.223,False
TX_7909547BA261,CUST_FB41A075,2023-04-06 07:16:12,270.2,Gas Station,"Chicago, IL",Tablet - Android,0.47,False
TX_D157ABF3E7F1,CUST_70528024,2024-10-19 12:01:23,980.34,Utilities,"Jacksonville, FL",ATM,0.156,False
TX_028E367C2775,CUST_6EF8C9DF,2025-02-28 21:17:31,337.52,Gambling,"Fort Worth, TX",Tablet - iOS,0.344,False
TX_5B33EC751EE7,CUST_5739E1A8,2025-07-25 10:12:23,1337.93,ATM Withdrawal,"Dallas, TX",POS Terminal,0.177,False
TX_FC555D49333C,CUST_C422628E,2025-05-02 16:24:51,8129.33,Utilities,"Phoenix, AZ",Mobile - Android,0.335,False
TX_1BDDAAD37B99,CUST_8261BFBD,2024-01-28 00:34:44,1739.43,Insurance,"Indianapolis, IN",Mobile - Android,0.413,False
TX_89DB7F9815D5,CUST_A9FC61F2,2024-03-28 19:09:20,1145.09,Wire Transfer,"Fort Worth, TX",Tablet - iOS,0.469,False
TX_80E92803298E,CUST_85F49EB3,2022-08-20 07:00:29,871.41,Utilities,"Phoenix, AZ",Desktop - Mac,0.074,False
TX_B84322AA0689,CUST_EDDA4040,2025-04-20 03:17:11,390.96,Insurance,"Los Angeles, CA",Tablet - iOS,0.28,False
TX_A1DFB91A1770,CUST_CCC33495,2023-02-05 07:50:57,1275.6,Grocery,"San Jose, CA",Tablet - Android,0.277,False
TX_D0183BC28E71,CUST_958C55ED,2022-04-25 14:36:26,227.81,Gambling,"San Diego, CA",Mobile - Android,0.392,False
TX_057FC11AF93E,CUST_B373FA31,2022-02-07 00:34:41,689.4,Grocery,"Charlotte, NC",Web Browser,0.314,False
TX_E80F4CCAB61E,CUST_122DBDA9,2022-12-09 04:59:07,15948.34,Gambling,"Chicago, IL",Web Browser,0.806,True
TX_B82BAE2E5100,CUST_F26E9C85,2023-03-05 11:52:42,286.57,Travel,"Columbus, OH",Web Browser,0.16,False
TX_18D07B03DE24,CUST_B68C6E8D,2023-07-01 21:41:56,681.93,Restaurant,"Houston, TX",ATM,0.039,False
TX_C307B09106D4,CUST_F25D3F1F,2022-12-02 20:59:52,3488.35,Electronics,"Phoenix, AZ",ATM,0.393,False
TX_BA97E8868D8F,CUST_9169A0CA,2025-03-28 13:25:43,605.49,Gambling,"New York, NY",Mobile - Android,0.356,False
TX_A259CA64D73F,CUST_99FBF93D,2025-08-15 01:59:48,633.01,Jewelry,"Phoenix, AZ",ATM,0.336,False
TX_9135269EFE66,CUST_EAC14B1C,2022-02-20 11:20:41,2953.05,Restaurant,"New York, NY",Desktop - Windows,0.197,False
TX_3FDE7E393A40,CUST_FE21DE39,2022-12-31 23:08:04,1666.96,Entertainment,"Houston, TX",Tablet - iOS,0.495,False
TX_DCBD470DAAFC,CUST_F2D941B9,2022-09-10 06:48:25,533.8,Gas Station,"Charlotte, NC",Desktop - Windows,0.182,False
TX_10C6B1BEBE8E,CUST_472BEF4D,2022-09-07 06:24:39,352.4,Online Shopping,"Indianapolis, IN",POS Terminal,0.035,False
TX_C2EF36760D3C,CUST_B8A90ED0,2022-02-24 19:41:11,579.86,ATM Withdrawal,"San Diego, CA",Tablet - Android,0.026,False
TX_964D083D3D43,CUST_AB0FDD70,2025-06-14 11:52:57,2064.51,Healthcare,"Phoenix, AZ",Desktop - Windows,0.13,False
TX_C33ED7AE569E,CUST_0FF75680,2024-06-25 07:44:39,198.2,Foreign Transaction,"Boston, MA",Desktop - Windows,0.0,False
TX_C949716EF6DE,CUST_98B774A3,2024-08-28 22:44:53,895.46,Healthcare,"Jacksonville, FL",Desktop - Mac,0.176,False
TX_83796F809E52,CUST_A6E65380,2024-05-24 02:32:22,972.27,ATM Withdrawal,"Fort Worth, TX",Mobile - Android,0.331,False
TX_DACB1607A9C2,CUST_638E8740,2024-07-29 01:32:11,395.2,ATM Withdrawal,"Houston, TX",Web Browser,0.311,False
TX_FBAF7CF6E54A,CUST_5016469D,2023-02-14 12:02:06,24.02,Grocery,"Phoenix, AZ",POS Terminal,0.02,False
TX_D2460F0B2466,CUST_C1BDD7AC,2025-02-07 07:57:35,680.99,Travel,"Chicago, IL",ATM,0.133,False
TX_370BEDDAE6D1,CUST_CE68C48D,2025-07-14 13:59:45,764.42,Money Transfer,"Dallas, TX",POS Terminal,0.296,False
TX_2E4EC8FAC983,CUST_69F41EED,2024-06-25 08:08:09,217.72,Entertainment,"Phoenix, AZ",Desktop - Windows,0.19,False
TX_9F74B52E4B25,CUST_122DBDA9,2024-11-07 00:40:06,911.51,Online Shopping,"Jacksonville, FL",Web Browser,0.448,False
TX_09F372CC39D1,CUST_5D82253B,2025-03-05 04:45:52,3458.11,Travel,"Jacksonville, FL",POS Terminal,0.487,False
TX_7B7350A0EC15,CUST_B7186E6A,2025-06-19 10:13:23,659.53,Wire Transfer,"San Diego, CA",ATM,0.373,False
TX_E264FD20B192,CUST_CE765BC0,2022-05-17 20:07:34,64.87,Wire Transfer,"Charlotte, NC",Tablet - iOS,0.221,False
TX_CB3F76A0B960,CUST_FB41A075,2022-01-13 15:42:20,60300.15,Grocery,"Seattle, WA",Mobile - iOS,0.778,True
TX_9C3D76102C62,CUST_445CC0B4,2023-03-27 12:11:25,2592.72,Foreign Transaction,"San Diego, CA",ATM,0.431,False
TX_3F3F9EF869B8,CUST_724344DD,2022-05-10 10:46:17,182.85,Electronics,"Dallas, TX",Mobile - Android,0.26,False
TX_1FE218735FB1,CUST_EC58F185,2025-07-06 21:04:23,95.61,Utilities,"Chicago, IL",Mobile - Android,0.113,False
TX_B3BD2E0E055A,CUST_5ABC0BA2,2025-10-10 10:21:27,278.9,Gas Station,"Denver, CO",POS Terminal,0.118,False
TX_7BBDDA3489E6,CUST_68CB89F2,2025-04-25 10:28:35,501.68,Travel,"Los Angeles, CA",ATM,0.161,False
TX_9F03E16D936A,CUST_AC163EC8,2022-10-08 00:16:10,516.97,Retail,"Chicago, IL",ATM,0.269,False
TX_057C7EB17D61,CUST_069EB5FF,2025-09-17 02:09:19,82.56,Entertainment,"Denver, CO",Desktop - Mac,0.3,False
TX_2CDE1C7FB9B8,CUST_7373A183,2025-06-24 12:29:34,570.86,Gambling,"Fort Worth, TX",Mobile - iOS,0.313,False
TX_90E7AA5E2C72,CUST_2365C13E,2024-08-29 06:04:10,432.1,ATM Withdrawal,"San Diego, CA",Mobile - Android,0.16,False
TX_8C96C0BF63DD,CUST_D86E87EC,2023-01-15 04:28:41,395.51,Retail,"San Francisco, CA",Tablet - Android,0.289,False
TX_E6012CD6BDE7,CUST_7105DE44,2024-12-22 17:39:30,652.26,Cryptocurrency,"Jacksonville, FL",Desktop - Mac,0.368,False
TX_68E5B76AD175,CUST_9176F860,2023-03-02 20:43:36,901.11,Insurance,"San Antonio, TX",Mobile - Android,0.121,False
TX_C8C363897B44,CUST_CB9A9E6D,2024-02-22 10:19:12,40.57,Foreign Transaction,"Denver, CO",Tablet - Android,0.036,False
