alert_id,transaction_id,customer_id,alert_type,alert_timestamp,analyst_id,analyst_decision,decision_timestamp,time_to_decision_hours,notes,false_positive
ALERT_A63F816E5B,TX_58CC9154438D,CUST_B08167FE,high_risk_customer,2023-06-10 02:52:45,Michael Rodriguez,approve_with_monitoring,2023-06-12 06:52:45,52,Risk score 0.717 reviewed. approve with monitoring,False
ALERT_428DCDB2D6,TX_5A2D5AA93841,CUST_FE9814A4,general_risk_alert,2023-07-09 23:49:53,Jessica Martinez,approve_with_monitoring,2023-07-12 05:49:53,54,Risk score 0.602 reviewed. approve with monitoring,False
ALERT_EF6477AAF9,TX_DBCA7FDCE39D,CUST_8167BADB,"high_risk_merchant, high_risk_customer",2023-03-16 12:18:48,Maria Garcia,approve_with_monitoring,2023-03-17 02:18:48,14,Customer verification completed. Amount $168.23 - approve with monitoring,False
ALERT_19A78E015F,TX_555A0FFD756A,CUST_B4FBF75E,"large_transaction, high_risk_customer",2023-05-07 17:41:04,Sarah Chen,escalate,2023-05-10 00:41:04,55,Customer verification completed. Amount $53444.91 - escalate,False
ALERT_4C43EF9C30,TX_AE95D18C4F33,CUST_BC08DED9,"critical_high_risk, large_transaction",2024-11-18 21:26:08,Lisa Anderson,escalate,2024-11-19 04:26:08,7,Risk score 0.891 reviewed. escalate,False
ALERT_0D51EB764D,TX_082B70C981DA,CUST_814DC7C4,"critical_high_risk, high_risk_customer",2024-04-11 00:01:37,Jessica Martinez,escalate,2024-04-11 12:01:37,12,"Location check performed: Tehran, Iran. escalate",False
ALERT_AE8D293A2D,TX_AB1AD794980B,CUST_814DC7C4,"high_risk_merchant, high_risk_customer",2022-07-18 23:53:15,Jessica Martinez,approve_with_monitoring,2022-07-19 02:53:15,3,Reviewed transaction for Wire Transfer - approve with monitoring,False
ALERT_7F32EC9AE6,TX_F7963B832667,CUST_28C05FB8,"large_transaction, high_risk_merchant",2025-07-17 10:22:36,James Wilson,approve,2025-07-19 14:22:36,52,"Location check performed: Houston, TX. approve",False
ALERT_C40CC8B978,TX_6EF32015843A,CUST_C51687BD,"critical_high_risk, large_transaction",2023-10-13 03:47:43,William Taylor,approve_with_monitoring,2023-10-13 11:47:43,8,Risk score 1.000 reviewed. approve with monitoring,False
ALERT_2334C4D596,TX_1CCBA39A1CE8,CUST_814DC7C4,"high_risk_merchant, high_risk_customer",2024-04-02 01:19:39,Sarah Chen,escalate,2024-04-04 09:19:39,56,Reviewed transaction for Cryptocurrency - escalate,False
ALERT_8D3544BE59,TX_7BC5B7FE72BA,CUST_DE79B80A,"critical_high_risk, large_transaction",2023-07-20 01:00:13,David Kim,approve_with_monitoring,2023-07-20 06:00:13,5,Risk score 0.900 reviewed. approve with monitoring,False
ALERT_336244DF09,TX_A5C63BE9C62D,CUST_408CD13E,"large_transaction, high_risk_merchant",2024-08-13 20:35:26,Jessica Martinez,approve_with_monitoring,2024-08-14 16:35:26,20,Reviewed transaction for Wire Transfer - approve with monitoring,False
ALERT_B69CEFB747,TX_E2322AD76923,CUST_6C237A8D,"critical_high_risk, large_transaction",2022-10-29 03:23:58,Michael Rodriguez,SAR_filed,2022-10-29 15:23:58,12,Reviewed transaction for Money Transfer - SAR filed - Suspicious Activity Report filed with FinCEN,False
ALERT_B0BC71E8EF,TX_FC0240A35D18,CUST_8B253B16,"critical_high_risk, large_transaction",2023-07-05 15:53:04,William Taylor,escalate,2023-07-05 20:53:04,5,Customer verification completed. Amount $59173.05 - escalate,False
ALERT_1C2B8C138A,TX_11C9CD293E25,CUST_F8574FBB,"critical_high_risk, high_risk_merchant",2024-05-31 22:26:28,Maria Garcia,approve_with_monitoring,2024-06-01 01:26:28,3,"Location check performed: Seattle, WA. approve with monitoring",False
ALERT_16C7133D62,TX_4DE3AD3B96D6,CUST_1C0C6419,"large_transaction, high_risk_customer",2022-12-10 07:22:04,Jessica Martinez,approve,2022-12-12 19:22:04,60,Risk score 0.623 reviewed. approve,False
ALERT_3178655781,TX_9107FF9380AB,CUST_4AE376A7,"high_risk_merchant, high_risk_customer",2025-05-10 12:20:58,James Wilson,deny,2025-05-12 12:20:58,48,"Location check performed: Tehran, Iran. deny",False
ALERT_D618BD9828,TX_C0692BDB1F2E,CUST_3691D45D,"critical_high_risk, high_risk_merchant",2022-01-16 09:49:34,James Wilson,SAR_filed,2022-01-16 20:49:34,11,Risk score 0.902 reviewed. SAR filed - Suspicious Activity Report filed with FinCEN,False
ALERT_2A8F7A0E82,TX_F82A2348A08D,CUST_E8730CC5,"large_transaction, high_risk_customer",2023-02-16 17:39:11,Maria Garcia,deny,2023-02-16 23:39:11,6,Reviewed transaction for Gas Station - deny,False
ALERT_B860743A95,TX_2CBC8EF80371,CUST_18EF1612,"critical_high_risk, high_risk_merchant",2024-05-17 02:28:52,William Taylor,escalate,2024-05-17 09:28:52,7,Risk score 0.807 reviewed. escalate,False
ALERT_13E04CDF21,TX_98641E5CFFEF,CUST_2A595292,"critical_high_risk, large_transaction",2024-05-27 01:21:57,Michael Rodriguez,approve_with_monitoring,2024-05-27 12:21:57,11,Customer verification completed. Amount $15588.32 - approve with monitoring,False
ALERT_2275684DCF,TX_7213A1E021B8,CUST_E9BFB96D,high_risk_customer,2025-02-06 23:30:55,Jessica Martinez,approve_with_monitoring,2025-02-08 06:30:55,31,Risk score 0.633 reviewed. approve with monitoring,False
ALERT_FDD787C348,TX_97DD276D62F9,CUST_DE79B80A,"critical_high_risk, large_transaction",2023-05-31 19:52:15,Lisa Anderson,escalate,2023-06-01 06:52:15,11,Reviewed transaction for Entertainment - escalate,False
ALERT_57D789E5DC,TX_730F8AB0D290,CUST_3691D45D,"critical_high_risk, large_transaction",2025-08-22 04:03:33,Robert Johnson,deny,2025-08-22 09:03:33,5,Reviewed transaction for Money Transfer - deny,False
ALERT_85A2D10866,TX_588FB5C00817,CUST_7C567880,"critical_high_risk, large_transaction",2025-03-24 21:11:02,William Taylor,approve_with_monitoring,2025-03-25 08:11:02,11,Reviewed transaction for Gas Station - approve with monitoring,False
ALERT_60186159EE,TX_D89259C6628D,CUST_B2926EDF,large_transaction,2023-06-08 01:38:52,Sarah Chen,approve_with_monitoring,2023-06-08 19:38:52,18,"Location check performed: New York, NY. approve with monitoring",False
ALERT_6525A2835F,TX_976E1A4E7E97,CUST_810E2F64,"large_transaction, high_risk_customer",2023-04-30 10:46:26,Emily Thompson,approve_with_monitoring,2023-05-02 05:46:26,43,Reviewed transaction for Foreign Transaction - approve with monitoring,False
ALERT_8EE501D111,TX_3DF7F516FAD1,CUST_FE21DE39,"high_risk_merchant, high_risk_customer",2022-09-30 06:36:55,Michael Rodriguez,approve_with_monitoring,2022-10-03 04:36:55,70,"Location check performed: Phoenix, AZ. approve with monitoring",False
ALERT_3A7A296F17,TX_D19E6F3B2C4E,CUST_A4DCF152,large_transaction,2025-11-05 05:01:36,Michael Rodriguez,approve,2025-11-07 18:01:36,61,Reviewed transaction for Retail - approve,True
ALERT_95AE77F112,TX_93B36B31CEFB,CUST_E630CBB6,"critical_high_risk, high_risk_merchant",2022-03-02 00:45:53,Emily Thompson,approve_with_monitoring,2022-03-02 00:45:53,0,Customer verification completed. Amount $1493.30 - approve with monitoring,False
ALERT_F04D60B363,TX_9AC39E14B9B1,CUST_659535B2,"critical_high_risk, large_transaction",2022-04-18 07:24:51,Lisa Anderson,escalate,2022-04-18 15:24:51,8,Customer verification completed. Amount $65292.64 - escalate,False
ALERT_F0577E6583,TX_95BDA1058E30,CUST_88F42F9E,"large_transaction, high_risk_merchant",2023-03-27 05:57:27,Emily Thompson,deny,2023-03-29 22:57:27,65,Reviewed transaction for Money Transfer - deny,False
ALERT_E4B9624A28,TX_4E2CBB21B90E,CUST_DE79B80A,"critical_high_risk, high_risk_merchant",2025-01-24 03:09:59,Jessica Martinez,approve_with_monitoring,2025-01-24 15:09:59,12,Reviewed transaction for Wire Transfer - approve with monitoring,False
ALERT_F1742EA1D8,TX_6BBCBEB8E38A,CUST_2F4A5607,"high_risk_customer, geographic_risk",2024-09-06 19:38:43,Emily Thompson,escalate,2024-09-07 21:38:43,26,"Location check performed: Caracas, Venezuela. escalate",False
ALERT_E7FE766545,TX_F221A55D3A14,CUST_8167BADB,"high_risk_merchant, high_risk_customer",2022-08-02 16:25:35,Sarah Chen,approve,2022-08-04 03:25:35,35,Customer verification completed. Amount $1121.05 - approve,False
ALERT_1DAD8A9D20,TX_2B01F489FA03,CUST_83F39F1F,high_risk_merchant,2022-12-28 23:07:22,William Taylor,approve,2022-12-31 14:07:22,63,Risk score 0.634 reviewed. approve,False
ALERT_15CD71F5C5,TX_763253EFA2AF,CUST_9ED543E5,high_risk_merchant,2022-11-27 05:04:32,William Taylor,approve,2022-11-29 17:04:32,60,"Location check performed: Chicago, IL. approve",True
ALERT_F395600909,TX_4B83C50A77A0,CUST_CE6DF88B,"critical_high_risk, high_risk_merchant",2022-01-17 09:00:37,Emily Thompson,deny,2022-01-17 20:00:37,11,Risk score 0.890 reviewed. deny,False
ALERT_B1763F4D05,TX_887ED92164A2,CUST_9480D1FE,"large_transaction, high_risk_customer",2022-12-16 20:06:51,Robert Johnson,escalate,2022-12-18 16:06:51,44,"Location check performed: Beijing, China. escalate",False
ALERT_8ECD2AA576,TX_3E9AF4594F88,CUST_66CF9E8F,"large_transaction, high_risk_merchant",2025-04-20 18:09:01,Sarah Chen,deny,2025-04-22 22:09:01,52,Customer verification completed. Amount $17898.74 - deny,False
ALERT_3697F611FC,TX_5651387855ED,CUST_BA8401CF,"large_transaction, high_risk_customer",2022-09-25 05:42:11,Lisa Anderson,approve_with_monitoring,2022-09-25 14:42:11,9,Risk score 0.773 reviewed. approve with monitoring,False
ALERT_0A93472482,TX_52F2C04566C5,CUST_AD37BEDA,"large_transaction, high_risk_customer",2024-03-06 15:59:37,Lisa Anderson,approve_with_monitoring,2024-03-07 06:59:37,15,Customer verification completed. Amount $19293.20 - approve with monitoring,False
ALERT_F974116EB6,TX_E4B741E0BEAA,CUST_4AB3EAFF,"critical_high_risk, large_transaction",2023-04-05 21:32:05,Emily Thompson,deny,2023-04-05 23:32:05,2,Risk score 0.949 reviewed. deny,False
ALERT_76CC5F1B11,TX_75E14C7CA844,CUST_9FDBF764,high_risk_customer,2024-05-17 15:35:57,Jessica Martinez,approve,2024-05-20 10:35:57,67,Reviewed transaction for Gambling - approve,True
ALERT_14355A0EA0,TX_256D82DF8552,CUST_E3FD6517,"high_risk_merchant, high_risk_customer",2022-02-03 04:19:57,William Taylor,approve_with_monitoring,2022-02-04 20:19:57,40,"Location check performed: Seattle, WA. approve with monitoring",False
ALERT_2EA3138A8A,TX_C25C54FD7B69,CUST_7A692691,"critical_high_risk, high_risk_merchant",2023-10-06 06:20:49,James Wilson,escalate,2023-10-06 09:20:49,3,Customer verification completed. Amount $4645.46 - escalate,False
ALERT_DED7FF4641,TX_514A4DE01B01,CUST_281E858E,general_risk_alert,2025-09-29 04:06:14,William Taylor,approve,2025-09-30 16:06:14,36,Customer verification completed. Amount $1880.67 - approve,False
ALERT_90FEC33DC3,TX_7D86C0D973B7,CUST_D37C3E8F,"critical_high_risk, large_transaction",2022-11-18 19:08:53,David Kim,approve_with_monitoring,2022-11-18 19:08:53,0,Risk score 0.937 reviewed. approve with monitoring,False
ALERT_E12B93C8E8,TX_36B613BA4743,CUST_283F7B41,"critical_high_risk, large_transaction",2022-12-27 12:24:38,David Kim,SAR_filed,2022-12-27 21:24:38,9,"Location check performed: San Diego, CA. SAR filed - Suspicious Activity Report filed with FinCEN",False
ALERT_1C34BDF2DB,TX_A127E13B6062,CUST_BB2A15C7,large_transaction,2023-08-01 01:17:15,Emily Thompson,approve_with_monitoring,2023-08-03 00:17:15,47,Risk score 0.687 reviewed. approve with monitoring,False
ALERT_E675988BDF,TX_2C3019635FF3,CUST_54A638F6,"critical_high_risk, high_risk_merchant",2022-05-06 05:20:08,James Wilson,approve_with_monitoring,2022-05-06 11:20:08,6,Customer verification completed. Amount $1916.02 - approve with monitoring,False
ALERT_BA5EFB6C6B,TX_84D40FFD6E5D,CUST_EB343DE6,high_risk_customer,2024-09-28 06:56:43,David Kim,approve_with_monitoring,2024-09-29 16:56:43,34,Customer verification completed. Amount $1809.11 - approve with monitoring,False
ALERT_AA97FCBCBD,TX_8CFC7737DDBB,CUST_6B31F674,"large_transaction, high_risk_customer",2023-06-14 07:39:45,Jessica Martinez,approve,2023-06-15 18:39:45,35,Risk score 0.667 reviewed. approve,False
ALERT_05366801C5,TX_E849E9D384FB,CUST_7E562DCE,"large_transaction, high_risk_merchant",2024-05-24 15:44:55,William Taylor,approve_with_monitoring,2024-05-26 13:44:55,46,"Location check performed: Phoenix, AZ. approve with monitoring",False
ALERT_7A122C318C,TX_25ADE1C2CAB3,CUST_EA15658D,"critical_high_risk, large_transaction",2022-06-25 12:52:20,Lisa Anderson,approve_with_monitoring,2022-06-26 00:52:20,12,Customer verification completed. Amount $59526.72 - approve with monitoring,False
ALERT_CFD74E2211,TX_DCAD0572A7BA,CUST_CD7D50A6,"critical_high_risk, large_transaction",2022-02-20 10:01:59,Robert Johnson,approve_with_monitoring,2022-02-20 17:01:59,7,Reviewed transaction for Grocery - approve with monitoring,False
ALERT_255E9FB26F,TX_2A726089AB65,CUST_3AD3A7A2,"high_risk_customer, geographic_risk",2024-10-03 11:40:29,Sarah Chen,approve,2024-10-04 12:40:29,25,"Location check performed: Moscow, Russia. approve",False
ALERT_0AA1B98275,TX_7253C984A010,CUST_D76CE945,"large_transaction, high_risk_customer",2024-04-15 19:13:52,Michael Rodriguez,approve_with_monitoring,2024-04-17 01:13:52,30,"Location check performed: New York, NY. approve with monitoring",False
ALERT_78619B7B1A,TX_0FC06E01FBE8,CUST_9D5631A5,"high_risk_merchant, high_risk_customer",2023-12-31 00:48:46,Sarah Chen,approve_with_monitoring,2024-01-01 10:48:46,34,"Location check performed: Caracas, Venezuela. approve with monitoring",False
ALERT_4018AFDE0D,TX_F8E611476DB4,CUST_3691D45D,"critical_high_risk, high_risk_merchant",2025-11-05 00:15:35,Emily Thompson,escalate,2025-11-05 11:15:35,11,"Location check performed: Moscow, Russia. escalate",False
ALERT_A19477656B,TX_8ABCFCE62F20,CUST_814DC7C4,"critical_high_risk, large_transaction",2024-11-12 20:28:25,Maria Garcia,escalate,2024-11-12 23:28:25,3,Risk score 0.848 reviewed. escalate,False
ALERT_BA1F3C6147,TX_0A95FD0F70BF,CUST_603096B6,"high_risk_merchant, high_risk_customer",2023-02-20 20:19:15,Michael Rodriguez,approve,2023-02-22 15:19:15,43,Reviewed transaction for Wire Transfer - approve,True
ALERT_B95C795988,TX_6FA032CC4750,CUST_7DA2EA62,"large_transaction, high_risk_customer",2024-11-08 03:53:27,Robert Johnson,escalate,2024-11-09 06:53:27,27,"Location check performed: Charlotte, NC. escalate",False
ALERT_28EF81013F,TX_65F2083A60F3,CUST_64BF94E8,"critical_high_risk, large_transaction",2024-03-29 14:48:25,Robert Johnson,approve_with_monitoring,2024-03-29 20:48:25,6,Customer verification completed. Amount $68371.66 - approve with monitoring,False
ALERT_62397A1AF3,TX_7807AA176286,CUST_2F96AF72,"large_transaction, high_risk_customer",2024-04-21 07:26:53,William Taylor,deny,2024-04-22 11:26:53,28,Customer verification completed. Amount $58372.39 - deny,False
ALERT_6FCBA0F1B8,TX_880F10B863BD,CUST_F13789E6,"high_risk_customer, geographic_risk",2024-11-24 23:06:35,Jessica Martinez,approve_with_monitoring,2024-11-27 09:06:35,58,Reviewed transaction for Retail - approve with monitoring,False
ALERT_9C105A7EEA,TX_3DBA21F86F16,CUST_9FDBF764,"large_transaction, high_risk_customer",2024-12-15 10:17:37,Emily Thompson,approve_with_monitoring,2024-12-15 19:17:37,9,Risk score 0.720 reviewed. approve with monitoring,False
ALERT_7F5DB18DFD,TX_4BEE83C13CF6,CUST_0B191EDF,"high_risk_merchant, high_risk_customer",2023-12-12 07:14:34,James Wilson,approve_with_monitoring,2023-12-13 02:14:34,19,Customer verification completed. Amount $2886.54 - approve with monitoring,False
ALERT_6EE81F887A,TX_72BE428610D8,CUST_6294D1BD,high_risk_customer,2025-08-08 00:55:55,David Kim,approve_with_monitoring,2025-08-09 16:55:55,40,"Location check performed: Boston, MA. approve with monitoring",False
ALERT_4454B58C0F,TX_A6AFC4F4F858,CUST_64BF94E8,"critical_high_risk, high_risk_merchant",2024-01-26 04:58:55,James Wilson,deny,2024-01-26 11:58:55,7,Risk score 0.966 reviewed. deny,False
ALERT_07E011F53E,TX_B8CCC6E3117C,CUST_E1F30D7F,"critical_high_risk, high_risk_merchant",2024-02-07 00:33:41,James Wilson,approve_with_monitoring,2024-02-07 03:33:41,3,Risk score 0.999 reviewed. approve with monitoring,False
ALERT_15A4F0CEA9,TX_C262AEAB32D9,CUST_760A8C60,"high_risk_merchant, high_risk_customer",2022-01-18 04:22:32,Emily Thompson,approve_with_monitoring,2022-01-20 10:22:32,54,Reviewed transaction for Cryptocurrency - approve with monitoring,False
ALERT_E743A19900,TX_88FE6966BDD0,CUST_D45EC47E,"critical_high_risk, large_transaction",2023-10-06 04:30:57,Emily Thompson,SAR_filed,2023-10-06 14:30:57,10,Reviewed transaction for Foreign Transaction - SAR filed - Suspicious Activity Report filed with FinCEN,False
